Real,Previsto
205000.0,342982.94088669954
460100.0,357118.4210526316
75000.0,200936.93244246475
229900.0,291475.01516683516
555750.0,744449.0
195000.0,200936.93244246475
305000.0,200936.93244246475
450000.0,365093.23529411765
265000.0,403803.02116402116
495000.0,365093.23529411765
298000.0,860918.0
750000.0,626833.0266666666
32500.0,365093.23529411765
955000.0,733778.9817444219
460000.0,200936.93244246475
840000.0,795787.4549549549
127000.0,286147.98560700874
299000.0,1265740.49122807
413800.0,200936.93244246475
193000.0,342982.94088669954
355000.0,286147.98560700874
149000.0,365093.23529411765
1180000.0,365093.23529411765
1350000.0,785353.2034632035
535000.0,365093.23529411765
199500.0,342982.94088669954
175982.0,267351.6029645315
2900000.0,3305444.4444444445
300000.0,286147.98560700874
430000.0,497401.9864364982
310000.0,200936.93244246475
180000.0,200936.93244246475
275000.0,358226.3082706767
200000.0,798450.7593880389
365000.0,497401.9864364982
450000.0,286147.98560700874
345000.0,267351.6029645315
625000.0,798450.7593880389
866250.0,365093.23529411765
1010000.0,718740.6677018633
400000.0,583628.8659793815
270000.0,516944.9917877448
95000.0,200936.93244246475
875000.0,684041.4696969697
895000.0,1100893.119266055
120000.0,365093.23529411765
970000.0,795787.4549549549
340000.0,403803.02116402116
197500.0,200936.93244246475
52000.0,200936.93244246475
320000.0,286147.98560700874
575000.0,398676.9759450172
210000.0,200936.93244246475
990000.0,2862967.4025974027
420000.0,286147.98560700874
1195000.0,2862967.4025974027
915000.0,610345.205479452
380000.0,497906.2417582418
344255.0,403101.6424242424
425000.0,718740.6677018633
295000.0,398676.9759450172
262500.0,200936.93244246475
222222.0,286147.98560700874
225000.0,342982.94088669954
340000.0,200936.93244246475
399900.0,357118.4210526316
545000.0,342982.94088669954
240000.0,342982.94088669954
200000.0,200936.93244246475
30000.0,200936.93244246475
189500.0,311228.07042253524
233564.0,267351.6029645315
398000.0,497401.9864364982
110000.0,286147.98560700874
490000.0,516944.9917877448
262000.0,497401.9864364982
1015000.0,733778.9817444219
450000.0,626833.0266666666
721800.0,516944.9917877448
209000.0,291475.01516683516
495000.0,511658.53658536583
2900000.0,1524177.8839779005
65000.0,286147.98560700874
240000.0,267351.6029645315
4200000.0,2862967.4025974027
295000.0,286147.98560700874
337500.0,291475.01516683516
225900.0,286147.98560700874
42000.0,286147.98560700874
680000.0,921057.9831932773
515000.0,412938.3522727273
710000.0,753897.339055794
140000.0,267351.6029645315
117500.0,357118.4210526316
581000.0,342982.94088669954
70000.0,365093.23529411765
290000.0,291475.01516683516
491280.0,286147.98560700874
790000.0,516944.9917877448
325000.0,365093.23529411765
620000.0,365093.23529411765
190000.0,200936.93244246475
450000.0,426764.28571428574
290000.0,570352.2276785715
692500.0,575612.015625
249900.0,342982.94088669954
39000.0,365093.23529411765
785000.0,798450.7593880389
1150000.0,516944.9917877448
49000.0,200936.93244246475
205000.0,311228.07042253524
320000.0,403101.6424242424
560000.0,365093.23529411765
495000.0,798450.7593880389
210000.0,200936.93244246475
590000.0,718740.6677018633
130000.0,200936.93244246475
350000.0,365093.23529411765
160000.0,516944.9917877448
805000.0,497401.9864364982
885000.0,365093.23529411765
145000.0,200936.93244246475
445000.0,395913.0081300813
505000.0,286147.98560700874
360000.0,200936.93244246475
159000.0,267351.6029645315
1165000.0,562735.2483221476
340000.0,291475.01516683516
279500.0,516944.9917877448
215000.0,200936.93244246475
195000.0,200936.93244246475
510000.0,511658.53658536583
490000.0,412938.3522727273
2300000.0,1408402.7777777778
