Index;Type; Price ;Area;Location;Property
10386;T3;515 000,00 €;130;Porto;Apartments
10387;T1;260 000,00 €;84.34;Faro;Apartments
10388;T2;404 280,00 €;121.65;Aveiro;Apartments
10389;T2;419 640,00 €;126.45;Aveiro;Apartments
1039;T2;285 000,00 €;105;Porto;Apartments
10390;T3;496 280,00 €;150.40;Aveiro;Apartments
10391;T1;172 500,00 €;55.48;Braga;Apartments
10392;T3;140 000,00 €;172;Santar?©m;Apartments
10393;T3;280 000,00 €;131;Aveiro;Apartments
10394;T2;450 000,00 €;131;Ilha da Madeira;Apartments
10395;T2;390 000,00 €;91;Ilha da Madeira;Apartments
10396;T2;279 800,00 €;93;Lisboa;Apartments
10397;T2;295 000,00 €;98;Set??bal;Apartments
10398;T3;253 000,00 €;121;Porto;Apartments
10399;T3;399 900,00 €;134;Porto;Apartments
104;T2;390 000,00 €;98.50;Aveiro;Apartments
1040;T3;299 000,00 €;89;Faro;Apartments
10400;T4;1 950 000,00 €;237.60;Lisboa;Apartments
10402;T2;550 000,00 €;79;Lisboa;Apartments
10404;T2;165 000,00 €;100.75;Aveiro;Apartments
10405;T2;665 500,00 €;115;Porto;Apartments
10406;T2;275 000,00 €;100;Porto;Apartments
10407;T3;367 500,00 €;113.85;Porto;Apartments
10408;T0;135 000,00 €;42;Porto;Apartments
10409;T2;206 000,00 €;82;Porto;Apartments
1041;T3;249 000,00 €;115;Lisboa;Apartments
10410;T2;530 000,00 €;90;Lisboa;Apartments
10411;T2;388 800,00 €;121.50;Aveiro;Apartments
10412;T2;355 600,00 €;96;Porto;Apartments
10413;T3;195 000,00 €;140;Coimbra;Apartments
10414;T2;285 000,00 €;86;Porto;Apartments
10415;T3;260 000,00 €;220.95;Viana do Castelo;Apartments
10416;T3;650 000,00 €;120;Lisboa;Apartments
10417;T4;757 000,00 €;163.50;Porto;Apartments
10418;T2;320 000,00 €;103;Lisboa;Apartments
10419;T2;465 000,00 €;112;Ilha da Madeira;Apartments
1042;T3;175 000,00 €;122;Aveiro;Apartments
10420;T2;498 000,00 €;102;Lisboa;Apartments
10421;T2;345 000,00 €;111;Porto;Apartments
10422;T3;269 000,00 €;100;Faro;Apartments
10423;T1;280 000,00 €;64.85;Porto;Apartments
10424;T4;2 450 000,00 €;207.76;Lisboa;Apartments
10425;T3;600 000,00 €;148.20;Aveiro;Apartments
10426;T3;600 000,00 €;139.05;Aveiro;Apartments
10427;T2;780 000,00 €;109.66;Lisboa;Apartments
10428;T2;790 000,00 €;109.67;Lisboa;Apartments
1043;T2;178 000,00 €;70;Lisboa;Apartments
10430;T2;185 000,00 €;87;Faro;Apartments
10431;T2;104 000,00 €;90;Coimbra;Apartments
10432;T3;415 000,00 €;144.80;Aveiro;Apartments
10433;T2;805 000,00 €;109.67;Lisboa;Apartments
10434;T3;545 000,00 €;128.70;Porto;Apartments
10435;T3;400 000,00 €;144.50;Aveiro;Apartments
10436;T1;215 000,00 €;58.30;Porto;Apartments
10437;T2;150 000,00 €;74;Viana do Castelo;Apartments
10438;T3;350 000,00 €;120;Braga;Apartments
10439;T3;535 000,00 €;145;Porto;Apartments
1044;T4;1 200 000,00 €;188;Porto;Apartments
10440;T3;650 000,00 €;140.47;Porto;Apartments
10441;T2;360 000,00 €;88.12;Porto;Apartments
10442;T2;165 000,00 €;84;Set??bal;Apartments
10443;T2;189 000,00 €;51;Lisboa;Apartments
10444;T2;205 000,00 €;82;Set??bal;Apartments
10447;T3;1 095 000,00 €;127;Lisboa;Apartments
10448;T1;530 000,00 €;80;Lisboa;Apartments
10449;T3;1 150 000,00 €;146;Lisboa;Apartments
1045;T3;240 000,00 €;99;Set??bal;Apartments
10451;T3;525 000,00 €;167;Ilha da Madeira;Apartments
10452;T3;565 000,00 €;133;Ilha da Madeira;Apartments
10453;T2;294 000,00 €;100;Porto;Apartments
10454;T3;393 000,00 €;144.50;Porto;Apartments
